# The file was automatically generated on 2022-07-05 09:24:29 by generate_mac_vendors.py via `go generate`
6A:9D:A4	GlobalReach	Global Reach Technology
3A:78:CA	SoundTalksNV	SoundTalks NV
6A:5C:35	Secrétariatg	 Secrétariat général de la défense et de la sécurité nationale
4A:C0:3F	WUHANHIKSTOR	WUHAN HIKSTORAGE TECHNOLOGY CO.,LTD
6A:40:65	OpenConnecti	Open Connectivity Foundation
DA:A1:19	Google	Google, Inc.
AA:38:C7	Kaloom	Kaloom inc
FA:16:19	trendytech	trendytech
FA:61:0E	Laboratoryfo	Laboratory for Computational Sensing and Robotics, Johns Hopkins University
FA:63:E1	SamsungElect	Samsung Electronics (UK) Ltd
8A:34:BC	FiberworksAS	Fiberworks AS
DA:FF:6B	TeamPrecisio	Team Precision Public Company Limited
7A:4B:A4	Innostor	Innostor Technology Corporation
9A:56:4B	Cubix	Cubix Corporation
EA:34:B4	ThinkRF	ThinkRF Inc.
3A:5A:27	ShenzhenLong	Shenzhen Longsys Electronics Co.,Ltd.
3A:F5:21	SingleDigits	Single Digits
CA:30:BF	IEEE8021Chai	IEEE 802.1 Chair
CA:04:5A	Ossia	Ossia Inc
0A:8E:62	DeltaSolutio	Delta Solutions LLC
DA:7D:2E	DeltaCompute	Delta Computers LLC.
AA:F0:19	TransferJetC	TransferJet Consortium Incorporated Association
DA:1E:56	OSNexus	OSNexus
BA:67:91	KandouBus	Kandou Bus SA
BA:4D:EA	Environexus	Environexus
EA:B8:9B	ThreadGroup	Thread Group, Inc.
7A:84:F0	McDowellSign	McDowell Signal Processing, LLC (dba McDSP)
BA:A2:D0	WirelessBroa	Wireless Broadband Alliance Ltd
BA:F2:1C	ISOTC22SC31	ISO/TC22/SC31
DA:C8:7D	SEDevelopmen	SE Development AB
0A:E4:71	Caterpillar	Caterpillar Inc.
5A:CB:D3	Simaudio	Simaudio Ltd
FA:2E:E9	OCAAlliance	OCA Alliance, Inc.
3A:02:92	VideoElectro	Video Electronics Standards Association
FA:E5:1A	RSAELabs	RSAE Labs Inc
DA:28:EC	HGGenuine	HG Genuine
4A:19:1B	ZigBeeAllian	ZigBee Alliance
8A:00:B0	Eoptolink	Eoptolink Technology Inc. Ltd,
3A:BA:37	Cirrent	Cirrent
9A:1B:22	InfoCore	InfoCore Co.,Ltd.
AA:0F:85	YamaichiElec	Yamaichi Electronics
0A:87:36	IEEE1901Work	 IEEE 1901 Working Group
9A:D2:63	FirmTek	FirmTek, LLC
2A:FD:6A	CharterCommu	Charter Communications
FA:D9:88	MomentumData	Momentum Data Systems
EA:11:5D	AUTOVISION	AUTOVISION TECHNOLOGY INC.
1A:BB:FB	UHDAlliance	UHD Alliance
EA:2A:DB	LabsNetworkI	Labs Network Industrie 4. 0 e.V.
0A:36:1C	Smardii	Smardii
AA:DC:47	Cachengo	Cachengo, Inc.
3A:A3:F8	IEEE8021Chai	IEEE 802.1 Chair
FA:94:F1	IEEE8021Chai	IEEE 802.1 Chair
8A:D8:5E	GigaIONetwor	GigaIO Networks, Inc.
4A:15:40	sasdelaHalle	sas de la Halle aux Fours
DA:0D:38	FarpointeDat	Farpointe Data, Inc.
